source_id,target_id,source,licence,version
uniprot:Q86BF9,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VZ49,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q4V516,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:O77459,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P28286,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:O77475,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VCE1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P35005,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:O46107,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P81921,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q7JXF7,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VU52,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P27398,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:A0A0B4KGY6,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q02870,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VGW1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q7KR04,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VHM2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9I7S8,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P18167,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VMH7,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P27716,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VG95,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P18502,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P55035,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VAM9,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9U3V5,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P82984,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W462,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q7KS38,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q94981,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VCA9,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:O76902,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VCZ3,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P08985,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VXK0,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q24152,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VUF8,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VYQ7,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VH89,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VB30,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q08694,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9Y149,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:O76927,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q04448,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P12426,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W032,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9V8Y2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P15619,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P12024,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8SWU7,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q7K0Y1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VYG1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P05623,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VCZ8,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P23572,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P31369,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P15348,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P23573,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9GSR1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:C0HKA1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q7K3D8,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VIT2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VIS1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9I7M2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P54397,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W3M2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VUJ0,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9U1K1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q95TJ9,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P13096,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VVA8,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8MUJ1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8IMX7,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VBB3,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P23257,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W107,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VEK6,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q01644,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q03043,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q95RQ4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VXV9,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8I7Q0,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9V3X4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VQB7,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VL59,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VQ79,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9V969,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P21330,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VR89,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VUX2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q24155,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P40808,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P48613,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9NII1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q6WV17,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q24583,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q7JR71,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P51023,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P91620,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:A1ZAG4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8INM9,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P25123,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VFS8,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VKV5,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P37160,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VGP4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P83098,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W138,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VV96,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P41374,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q23973,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VZU2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9Y0Y2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VGY5,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VA73,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VXA0,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9V574,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q24214,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VES1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9U9Q4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q24524,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P11929,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VL63,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q7K0P4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9V3Y3,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W3W5,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:O01404,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VUW9,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W0M2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VQ66,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VZS5,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q59E04,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q26365,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:O46072,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q94524,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P06754,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q94890,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P48610,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q24208,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VSH3,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W1G0,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P31368,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:O61345,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VW51,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VZS7,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VLM8,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VW87,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P16425,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q24117,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q05913,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VTP4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VM95,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VPK7,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W148,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8MM24,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9V564,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P15357,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9NK57,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:O77237,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P08879,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9I7I0,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:O76908,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VMD9,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P40140,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VWD4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VJD3,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VM90,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q7JXF5,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q08012,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VE51,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W4K2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9V4K2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9V8F5,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:C0HK99,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9N658,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P20659,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:A1Z8J0,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VR99,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P22769,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VAY7,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:M9NE38,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q27934,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VWU1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q01637,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VBV3,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q95028,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9NHA8,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P23647,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P05130,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VDG5,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VDE4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VQU9,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8T4E1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9NFU0,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P82384,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q24297,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:M9PBE2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P29673,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9V9A8,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q95RU0,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P42281,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:A3RLR1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8INF2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P20482,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8SYK5,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W2B1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:A1Z6J5,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P02825,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P48592,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VW60,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q7KM13,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VYZ1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P05084,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P10383,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P27780,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VTW2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W5E4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VHI4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P48159,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q59DY5,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P11455,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:A1ZA47,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P35381,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q7K480,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P56079,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VU68,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q7JUR6,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VTU4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9NBD7,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P19107,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8SZ16,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VLJ8,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
