source_id,target_id,source,licence,version
ncbigene:43690,uniprot:P12024,uniprot,CC BY 4.0,2024_03
ncbigene:31914,uniprot:Q8SWU7,uniprot,CC BY 4.0,2024_03
ncbigene:37036,uniprot:Q7K0Y1,uniprot,CC BY 4.0,2024_03
ncbigene:32269,uniprot:Q9VYG1,uniprot,CC BY 4.0,2024_03
ncbigene:39494,uniprot:P05623,uniprot,CC BY 4.0,2024_03
ncbigene:42647,uniprot:Q9VCZ8,uniprot,CC BY 4.0,2024_03
ncbigene:34411,uniprot:P23572,uniprot,CC BY 4.0,2024_03
ncbigene:34673,uniprot:P31369,uniprot,CC BY 4.0,2024_03
ncbigene:35225,uniprot:P15348,uniprot,CC BY 4.0,2024_03
ncbigene:42453,uniprot:P23573,uniprot,CC BY 4.0,2024_03
ncbigene:47186,uniprot:Q9GSR1,uniprot,CC BY 4.0,2024_03
ncbigene:47218,uniprot:C0HKA1,uniprot,CC BY 4.0,2024_03
ncbigene:37339,uniprot:Q7K3D8,uniprot,CC BY 4.0,2024_03
ncbigene:35255,uniprot:Q9VIT2,uniprot,CC BY 4.0,2024_03
ncbigene:35267,uniprot:Q9VIS1,uniprot,CC BY 4.0,2024_03
ncbigene:35263,uniprot:Q9I7M2,uniprot,CC BY 4.0,2024_03
ncbigene:41860,uniprot:P54397,uniprot,CC BY 4.0,2024_03
ncbigene:31714,uniprot:Q9W3M2,uniprot,CC BY 4.0,2024_03
ncbigene:39627,uniprot:Q9VUJ0,uniprot,CC BY 4.0,2024_03
ncbigene:45931,uniprot:Q9U1K1,uniprot,CC BY 4.0,2024_03
ncbigene:43724,uniprot:Q95TJ9,uniprot,CC BY 4.0,2024_03
ncbigene:43158,uniprot:P13096,uniprot,CC BY 4.0,2024_03
ncbigene:39882,uniprot:Q9VVA8,uniprot,CC BY 4.0,2024_03
ncbigene:36054,uniprot:Q8MUJ1,uniprot,CC BY 4.0,2024_03
ncbigene:42845,uniprot:Q8IMX7,uniprot,CC BY 4.0,2024_03
ncbigene:43227,uniprot:Q9VBB3,uniprot,CC BY 4.0,2024_03
ncbigene:33501,uniprot:P23257,uniprot,CC BY 4.0,2024_03
ncbigene:37965,uniprot:Q9W107,uniprot,CC BY 4.0,2024_03
ncbigene:42093,uniprot:Q9VEK6,uniprot,CC BY 4.0,2024_03
ncbigene:40887,uniprot:Q01644,uniprot,CC BY 4.0,2024_03
ncbigene:44817,uniprot:Q03043,uniprot,CC BY 4.0,2024_03
ncbigene:37511,uniprot:Q95RQ4,uniprot,CC BY 4.0,2024_03
ncbigene:32467,uniprot:Q9VXV9,uniprot,CC BY 4.0,2024_03
ncbigene:31245,uniprot:Q9V3X4,uniprot,CC BY 4.0,2024_03
ncbigene:33424,uniprot:Q9VQB7,uniprot,CC BY 4.0,2024_03
ncbigene:34324,uniprot:Q9VL59,uniprot,CC BY 4.0,2024_03
ncbigene:33390,uniprot:Q9VQ79,uniprot,CC BY 4.0,2024_03
ncbigene:37347,uniprot:Q9V969,uniprot,CC BY 4.0,2024_03
ncbigene:33033,uniprot:Q9VR89,uniprot,CC BY 4.0,2024_03
ncbigene:39750,uniprot:Q9VUX2,uniprot,CC BY 4.0,2024_03
ncbigene:34376,uniprot:Q24155,uniprot,CC BY 4.0,2024_03
ncbigene:35767,uniprot:P40808,uniprot,CC BY 4.0,2024_03
ncbigene:38504,uniprot:P48613,uniprot,CC BY 4.0,2024_03
ncbigene:31130,uniprot:Q9NII1,uniprot,CC BY 4.0,2024_03
ncbigene:326151,uniprot:Q6WV17,uniprot,CC BY 4.0,2024_03
ncbigene:36731,uniprot:Q24583,uniprot,CC BY 4.0,2024_03
ncbigene:36232,uniprot:Q7JR71,uniprot,CC BY 4.0,2024_03
ncbigene:42757,uniprot:P51023,uniprot,CC BY 4.0,2024_03
ncbigene:43892,uniprot:P91620,uniprot,CC BY 4.0,2024_03
ncbigene:36841,uniprot:A1ZAG4,uniprot,CC BY 4.0,2024_03
ncbigene:117475,uniprot:Q8INM9,uniprot,CC BY 4.0,2024_03
ncbigene:39054,uniprot:P25123,uniprot,CC BY 4.0,2024_03
